Total words: 4908 | Already enriched: 5 | To process: 4903
Saving every 50 words. Safe to Ctrl+C and restart.

  [1/4903] abortion ... OK
  [2/4903] about ... OK
  [3/4903] above ... OK
  [4/4903] abroad ... OK
  [5/4903] absence ... OK
  [6/4903] absent ... OK
  [7/4903] absolute ... OK
  [8/4903] absolutely ... OK
  [9/4903] absorb ... OK
  [10/4903] abstract ... OK
  [11/4903] absurd ... OK
  [12/4903] abundance ... OK
  [13/4903] abuse ... OK
  [14/4903] academic ... OK
  [15/4903] academy ... OK
  [16/4903] accelerate ... OK
  [17/4903] accent ... OK
  [18/4903] accept ... OK
  [19/4903] acceptable ... OK
  [20/4903] acceptance ... OK
  [21/4903] access ... OK
  [22/4903] accessible ... OK
  [110/4903] afternoon ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHm8VdrrLHnjMQB2wd'}
  [111/4903] afterward ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHnSd9PRNnhs19kdPW'}
  [112/4903] again ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHp5MSgfbksyu2TEot'}
  [113/4903] against ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHrir4hu61C77CgmD9'}
  [114/4903] age ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHt7vvi4iok6qQGpsq'}
  [115/4903] agency ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHuR54Pvs8rSn2Cc9e'}
  [116/4903] agenda ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHvkw5yHv2FSfGGcbS'}
  [117/4903] agent ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHx4575FikxGsJn1Bz'}
  [118/4903] aggression ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHyb6LhRF5EF8HsYfB'}
  [119/4903] aggressive ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEHzvTwdv7ssm9Ya3Et'}
  [120/4903] ago ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJ2fPZ3EVMtCXmsLsx'}
  [121/4903] agree ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJ3y28r6yf2CqgaA3n'}
  [122/4903] agreement ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJ5HtYwvwxXdMGbnXo'}
  [123/4903] agricultural ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJ6c2NxSuaJ7DTrrvm'}
  [124/4903] agriculture ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJ7vtmnUkeL4qqdYHa'}
  [125/4903] ah ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJ9HFnzjXa1z3gNUkq'}
  [126/4903] ahead ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJAeMqtJoF8GAdVCNF'}
  [127/4903] aid ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJBxVJqdDbu7dsGkEH'}
  [128/4903] aide ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJDx3LWAeCjVbedZin'}
  [129/4903] aids ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJFXYd3f8FoDRFQUAc'}
  [130/4903] aim ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJGxNBQeC1cmci94dB'}
  [131/4903] air ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJJxffPbrNySYRZdo9'}
  [132/4903] aircraft ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJLHHhcEVjzgh96vwY'}
  [133/4903] airline ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJMaRwmADrAV97Dzwf'}
  [134/4903] airport ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJNu3riz5WYauDS11d'}
  [135/4903] alarm ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJQMrpH8KudA2SEwwV'}
  [136/4903] albeit ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJRkwz7sB6WQsSCnZq'}
  [137/4903] album ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJT5KZdVsvZ4emNEqE'}
  [138/4903] alcohol ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJUPTFB7sQwP3dfnd5'}
  [139/4903] alcoholic ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJVi5YgMHKMFm87wwN'}
  [140/4903] alert ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJX1xVGvWo2qdZtz6J'}
  [141/4903] alien ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJYK6Kbs7NKMs1zYP6'}
  [142/4903] align ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJZcyHrQB7svhbYBa3'}
  [143/4903] alignment ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJav7YrddyovYF35g1'}
  [144/4903] alike ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJcY6LMyzERmniZcki'}
  [145/4903] alive ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJfD5NShua7zktCgSt'}
  [146/4903] all ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJgWTfHNmgFeqdsFKz'}
  [147/4903] all right ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJho6s5s8YDmSEkBHo'}
  [148/4903] allegation ... ERROR: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CamEJjDRoW1Krm9Cm2kTW'}
